signature_hash,decision,selected_candidate_id,selected_ein,selected_name,confidence,auto_accept,validation_status,validation_error,explanation,output_json
SIG_9116c0f1a1299240f4ab94a482641d7fa2f736b4,KEEP_REPORTED_EIN,C1,956006143,REGENTS UNIV OF CALIFORNIA,0.94,1,ok,,Reported recipient EIN 956006143 was found in org_identity as 'REGENTS UNIV OF CALIFORNIA' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.706. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.94, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 956006143 was found in org_identity as 'REGENTS UNIV OF CALIFORNIA' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.706. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_weakly_agrees"", ""reported_ein_candidate_present""]}"
SIG_40d7f53ef13782856ca5d2cf135b3afd95753490,KEEP_REPORTED_EIN,C1,946002123,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT BERKELEY,0.985,1,ok,,Reported recipient EIN 946002123 was found in org_identity as 'REGENTS OF THE UNIVERSITY OF CALIFORNIA AT BERKELEY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.786. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 946002123 was found in org_identity as 'REGENTS OF THE UNIVERSITY OF CALIFORNIA AT BERKELEY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.786. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_5f637cfd1f2c468b3f00ea3c582578dfa2f594cb,KEEP_REPORTED_EIN,C1,042921338,MASS GENERAL BRIGHAM INCORPORATED,0.94,1,ok,,Reported recipient EIN 042921338 was found in org_identity as 'MASS GENERAL BRIGHAM INCORPORATED' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.518. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.94, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 042921338 was found in org_identity as 'MASS GENERAL BRIGHAM INCORPORATED' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.518. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_weakly_agrees"", ""reported_ein_candidate_present""]}"
SIG_4b8c040600ec1dc3dd7a4b10be65f770a1c8550e,KEEP_REPORTED_EIN,C1,956006144,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT SAN DIEGO,0.985,1,ok,,Reported recipient EIN 956006144 was found in org_identity as 'REGENTS OF THE UNIVERSITY OF CALIFORNIA AT SAN DIEGO' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.857. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 956006144 was found in org_identity as 'REGENTS OF THE UNIVERSITY OF CALIFORNIA AT SAN DIEGO' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.857. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_f7400150731bf86e7f4e7fe9e1b951f89c4a2322,KEEP_REPORTED_EIN,C1,952226406,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT IRVINE,0.985,1,ok,,Reported recipient EIN 952226406 was found in org_identity as 'REGENTS OF THE UNIVERSITY OF CALIFORNIA AT IRVINE' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.775. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 952226406 was found in org_identity as 'REGENTS OF THE UNIVERSITY OF CALIFORNIA AT IRVINE' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.775. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_e96e6d7595a1b1febaa02de383fc4c8cae233eed,KEEP_REPORTED_EIN,C1,586002053,AUGUSTA UNIVERSITY,0.985,1,ok,,Reported recipient EIN 586002053 was found in org_identity as 'AUGUSTA UNIVERSITY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 586002053 was found in org_identity as 'AUGUSTA UNIVERSITY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_3854fc56e9b5703e63762132e55e9a7da131c2ba,KEEP_REPORTED_EIN,C1,042697983,MASS GENERAL BRIGHAM INCORPORATED,0.94,1,ok,,Reported recipient EIN 042697983 was found in org_identity as 'MASS GENERAL BRIGHAM INCORPORATED' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.556. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.94, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 042697983 was found in org_identity as 'MASS GENERAL BRIGHAM INCORPORATED' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.556. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_weakly_agrees"", ""reported_ein_candidate_present""]}"
SIG_b98eec2d093bc667dab355534d19317b4898076e,KEEP_REPORTED_EIN,C1,316025986,THE OHIO STATE UNIVERSITY,0.985,1,ok,,Reported recipient EIN 316025986 was found in org_identity as 'THE OHIO STATE UNIVERSITY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 316025986 was found in org_identity as 'THE OHIO STATE UNIVERSITY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_7d26d3cda4992422be529384c68a26bdc4f77b03,KEEP_REPORTED_EIN,C1,480771751,KANSAS STATE UNIVERSITY,0.985,1,ok,,Reported recipient EIN 480771751 was found in org_identity as 'KANSAS STATE UNIVERSITY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 480771751 was found in org_identity as 'KANSAS STATE UNIVERSITY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_2f4f78870955478ea87fc824201e6bde2ecfaafa,KEEP_REPORTED_EIN,C1,556000842,STATE OF WEST VIRGINIA,0.94,1,ok,,Reported recipient EIN 556000842 was found in org_identity as 'STATE OF WEST VIRGINIA' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.565. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.94, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 556000842 was found in org_identity as 'STATE OF WEST VIRGINIA' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.565. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_weakly_agrees"", ""reported_ein_candidate_present""]}"
